,channel,band,term,estimate,p_value
65,PCA_R,$\alpha$,event_kind[T.novel cup],-0.0019323521548868501,0.052718946107765396
66,PCA_R,$\alpha$,sex[T.m],0.009311005461109122,0.0025673186164486624
67,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.novel cup],0.0015435712088863057,0.2627279257486961
68,PCA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.008995691704809067,0.03707843803897046
69,PCA_R,$\alpha$,event_kind[T.novel cup]:sex[T.m],0.0030625897140810986,0.026275274259592286
70,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.0032807761919303475,0.08845205935300059
71,PCA_R,$\alpha$,Group Var,9.039713135851294,0.0018900733407207976
72,PCA_R,$\beta$,Intercept,0.0051892423990096675,1.4284150318817827e-18
73,PCA_R,$\beta$,genotype[T.Ntg],0.0006091555046470366,0.4549242570981129
74,PCA_R,$\beta$,event_kind[T.novel cup],-0.0002712003038032027,0.18834755899496847
75,PCA_R,$\beta$,sex[T.m],0.0023209724176021696,0.0044125090841979735
76,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.novel cup],0.0005485459001012743,0.05413842398866641
77,PCA_R,$\beta$,genotype[T.Ntg]:sex[T.m],-0.001666369674180891,0.14349380150418697
78,PCA_R,$\beta$,event_kind[T.novel cup]:sex[T.m],0.0003903126082106038,0.17061419166376446
79,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.0007159476574101865,0.07205167157275824
80,PCA_R,$\beta$,Group Var,15.381002504157994,0.001495730391248171
81,PCA_R,$\gamma$,Intercept,0.0013136539075021686,2.633054552269369e-05
82,PCA_R,$\gamma$,genotype[T.Ntg],5.696228319585113e-05,0.8950595059773787
83,PCA_R,$\gamma$,event_kind[T.novel cup],-0.0001733517916729454,0.08728338816078646
84,PCA_R,$\gamma$,sex[T.m],0.0010252814067061198,0.01758719065923455
85,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.novel cup],0.00022529912165754007,0.10775096522484848
86,PCA_R,$\gamma$,genotype[T.Ntg]:sex[T.m],-0.0004931516637888055,0.41376744496879114
87,PCA_R,$\gamma$,event_kind[T.novel cup]:sex[T.m],0.00011763705264779441,0.4010219638489584
88,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.00041937376892451294,0.03214194144465309
89,PCA_R,$\gamma$,Group Var,18.008318062062106,0.0014217568250331936
