,subject_id,channel,band,psd_ratio,genotype
80,b1c3.3,A1_L,$\alpha$,0.9570973118794773,3xTg
81,b1c3.3,A1_L,$\beta$,1.095441619821958,3xTg
82,b1c3.3,A1_L,$\delta$,1.1383078731899174,3xTg
83,b1c3.3,A1_L,$\gamma$,1.0135389110993038,3xTg
84,b1c3.3,A1_L,$\theta$,0.8828995705460696,3xTg
85,b1c3.3,A1_R,$\alpha$,0.8853287655032538,3xTg
86,b1c3.3,A1_R,$\beta$,1.0823374993467112,3xTg
87,b1c3.3,A1_R,$\delta$,1.1810982096343852,3xTg
88,b1c3.3,A1_R,$\gamma$,0.9877509138457407,3xTg
89,b1c3.3,A1_R,$\theta$,0.8530639333011709,3xTg
90,b1c3.3,ACA_R,$\alpha$,0.8592757941974325,3xTg
91,b1c3.3,ACA_R,$\beta$,1.0876271169632508,3xTg
92,b1c3.3,ACA_R,$\delta$,1.1588615835144032,3xTg
93,b1c3.3,ACA_R,$\gamma$,0.9570134795710185,3xTg
94,b1c3.3,ACA_R,$\theta$,0.8357945619650733,3xTg
95,b1c3.3,AI_L,$\alpha$,0.9297971656021508,3xTg
96,b1c3.3,AI_L,$\beta$,0.9767749514173144,3xTg
97,b1c3.3,AI_L,$\delta$,0.9255256837568852,3xTg
98,b1c3.3,AI_L,$\gamma$,0.8761683342858781,3xTg
99,b1c3.3,AI_L,$\theta$,0.8574936709195399,3xTg
100,b1c3.3,AI_R,$\alpha$,0.8521197222036065,3xTg
101,b1c3.3,AI_R,$\beta$,1.0769384602674423,3xTg
102,b1c3.3,AI_R,$\delta$,1.129877799308207,3xTg
103,b1c3.3,AI_R,$\gamma$,0.9796152739288622,3xTg
104,b1c3.3,AI_R,$\theta$,0.8336132940908445,3xTg
105,b1c3.3,PCA_R,$\alpha$,0.9028651074700127,3xTg
106,b1c3.3,PCA_R,$\beta$,1.043136734678948,3xTg
107,b1c3.3,PCA_R,$\delta$,1.1360733600545785,3xTg
108,b1c3.3,PCA_R,$\gamma$,1.0015444940805815,3xTg
109,b1c3.3,PCA_R,$\theta$,0.8610663650930745,3xTg
110,b1c3.3,PMC_R,$\alpha$,0.850148560567469,3xTg
111,b1c3.3,PMC_R,$\beta$,1.0842833866748391,3xTg
112,b1c3.3,PMC_R,$\delta$,1.1358474439529025,3xTg
113,b1c3.3,PMC_R,$\gamma$,0.9700924095865961,3xTg
114,b1c3.3,PMC_R,$\theta$,0.8276899574887517,3xTg
115,b1c3.3,S1_L,$\alpha$,0.8981422256188815,3xTg
116,b1c3.3,S1_L,$\beta$,1.0566535570303894,3xTg
117,b1c3.3,S1_L,$\delta$,1.1217773638479744,3xTg
118,b1c3.3,S1_L,$\gamma$,0.9816546692888996,3xTg
119,b1c3.3,S1_L,$\theta$,0.8790292468301419,3xTg
120,b1c3.4,A1_L,$\alpha$,1.1067503050270961,3xTg
121,b1c3.4,A1_L,$\beta$,1.1623105917667003,3xTg
122,b1c3.4,A1_L,$\delta$,1.0938482689220406,3xTg
