,channel,band,term,estimate,p_value,p_fdr
67,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.novel cup],0.0015435712088863057,0.2627279257486961,0.36911311372049355
68,PCA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.008995691704809067,0.03707843803897046,0.11766344100106753
69,PCA_R,$\alpha$,event_kind[T.novel cup]:sex[T.m],0.0030625897140810986,0.026275274259592286,0.10218162212063668
70,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.0032807761919303475,0.08845205935300059,0.18210718102088355
73,PCA_R,$\beta$,genotype[T.Ntg],0.0006091555046470366,0.4549242570981129,0.5220442294568509
74,PCA_R,$\beta$,event_kind[T.novel cup],-0.0002712003038032027,0.18834755899496847,0.2866158506445172
75,PCA_R,$\beta$,sex[T.m],0.0023209724176021696,0.0044125090841979735,0.03860945448673227
76,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.novel cup],0.0005485459001012743,0.05413842398866641,0.14575729535410187
77,PCA_R,$\beta$,genotype[T.Ntg]:sex[T.m],-0.001666369674180891,0.14349380150418697,0.23359456058821135
78,PCA_R,$\beta$,event_kind[T.novel cup]:sex[T.m],0.0003903126082106038,0.17061419166376446,0.2653998536991891
79,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.0007159476574101865,0.07205167157275824,0.16850491416121896
82,PCA_R,$\gamma$,genotype[T.Ntg],5.696228319585113e-05,0.8950595059773787,0.9213847855649486
83,PCA_R,$\gamma$,event_kind[T.novel cup],-0.0001733517916729454,0.08728338816078646,0.18210718102088355
84,PCA_R,$\gamma$,sex[T.m],0.0010252814067061198,0.01758719065923455,0.08793595329617275
85,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.novel cup],0.00022529912165754007,0.10775096522484848,0.20951576571498318
86,PCA_R,$\gamma$,genotype[T.Ntg]:sex[T.m],-0.0004931516637888055,0.41376744496879114,0.49091052792907425
87,PCA_R,$\gamma$,event_kind[T.novel cup]:sex[T.m],0.00011763705264779441,0.4010219638489584,0.4839920253349497
88,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.novel cup]:sex[T.m],-0.00041937376892451294,0.03214194144465309,0.11249679505628583
