,channel,band,term,estimate,ci_lower,ci_upper,p_value
0,ACA_R,$\delta$,Intercept,0.1113094096449858,0.09912881274427182,0.12349000654569978,9.738783072621658e-72
1,ACA_R,$\delta$,genotype[T.Ntg],-0.009115747972588985,-0.026341713307378382,0.008110217362200411,0.29964897481919006
2,ACA_R,$\delta$,event_kind[T.without mouse cup],0.0009528822491434201,-0.005114127963947666,0.007019892462234506,0.7582107975696717
3,ACA_R,$\delta$,sex[T.m],-0.03033008555843915,-0.04755605089322855,-0.013104120223649752,0.0005586254270898013
4,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.003145977294526486,-0.011726025420935987,0.005434070831883015,0.472360145655783
5,ACA_R,$\delta$,genotype[T.Ntg]:sex[T.m],0.027373313736422333,0.0030121199349943846,0.05173450753785028,0.027643973661194584
6,ACA_R,$\delta$,event_kind[T.without mouse cup]:sex[T.m],0.003133978527905424,-0.005446069598504075,0.011714026654314924,0.4740510408514359
7,ACA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-0.0033892229246664054,-0.015523243350848587,0.008744797501515777,0.5840704396592962
8,ACA_R,$\delta$,Group Var,7.061533921800348,2.5930649140276048,11.53000292957309,0.0019526807852415869
9,ACA_R,$\theta$,Intercept,0.049760630563205586,0.04662732584403266,0.05289393528237851,1.0526672107877465e-212
10,ACA_R,$\theta$,genotype[T.Ntg],0.002335583344056751,-0.002095578684845218,0.0067667453729587206,0.30157550496895613
11,ACA_R,$\theta$,event_kind[T.without mouse cup],-0.002266270706265464,-0.005908041250231959,0.0013754998377010306,0.22258472057131107
12,ACA_R,$\theta$,sex[T.m],0.0017411959673125797,-0.002689966061589389,0.006172357996214549,0.4412079814265124
13,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0005842320820596085,-0.004566009212268652,0.005734473376387869,0.8240538723811619
14,ACA_R,$\theta$,genotype[T.Ntg]:sex[T.m],-0.004727484837403204,-0.010994094275749048,0.0015391246009426414,0.13925189136229885
15,ACA_R,$\theta$,event_kind[T.without mouse cup]:sex[T.m],0.0017262047364606083,-0.0034240365578676523,0.0068764460307888685,0.5112320326290625
16,ACA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0025791102385309193,-0.00470443084940207,0.00986265132646391,0.4876662230257399
17,ACA_R,$\theta$,Group Var,0.48050576751157714,-0.09893801770097121,1.0599495527241256,0.10409717591151696
18,ACA_R,$\alpha$,Intercept,0.022104834844717182,0.01875205182475726,0.025457617864677103,3.3821021036773854e-38
19,ACA_R,$\alpha$,genotype[T.Ntg],0.001919816533762707,-0.0028217346847588367,0.006661367752284251,0.42744353544828706
