,channel,band,term,estimate,ci_lower,ci_upper,p_value,p_fdr
50,PCA_R,$\delta$,genotype[T.Ntg]:sex[T.m],0.034895924473511995,0.006830897427804343,0.06296095151921965,0.014809264541096769,0.10366485178767738
51,PCA_R,$\delta$,event_kind[T.without mouse cup]:sex[T.m],0.004551239328359685,-0.004138515617473073,0.013240994274192444,0.3046434011426644,0.608498788411131
52,PCA_R,$\delta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-0.005214214959914957,-0.01750338425801033,0.007074954338180415,0.40563474644477804,0.6309873833585435
55,PCA_R,$\theta$,genotype[T.Ntg],0.002215667398846691,-0.0026185146235107653,0.0070498494212041475,0.3690165264906857,0.6300282159597073
56,PCA_R,$\theta$,event_kind[T.without mouse cup],-0.0021965023131098205,-0.005942967217728983,0.0015499625915093417,0.2505144618601932,0.5845337443404509
57,PCA_R,$\theta$,sex[T.m],-0.0014635682282534018,-0.006297750250610858,0.003370613794104055,0.5529221525492543,0.7115062209540111
58,PCA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0016672609351489269,-0.003631040543918306,0.006965562414216159,0.5373941640807497,0.7097658770877826
59,PCA_R,$\theta$,genotype[T.Ntg]:sex[T.m],-0.0035132229969102075,-0.010349788775908315,0.003323342782087901,0.3138385683005047,0.608498788411131
60,PCA_R,$\theta$,event_kind[T.without mouse cup]:sex[T.m],0.002679214954313143,-0.00261908652475409,0.007977516433380375,0.321635073874455,0.608498788411131
61,PCA_R,$\theta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0011764448544610822,-0.0063164849547772215,0.008669374663699386,0.7582887798132778,0.8561324933375718
64,PCA_R,$\alpha$,genotype[T.Ntg],0.0029353196454095843,-0.0032693057044170617,0.00913994499523623,0.3538066257219824,0.6290906679996286
65,PCA_R,$\alpha$,event_kind[T.without mouse cup],-0.00024072071501631787,-0.002573544683497734,0.002092103253465099,0.8397245421500847,0.8644223228015578
66,PCA_R,$\alpha$,sex[T.m],0.011149814098638638,0.004945188748811992,0.017354439448465285,0.00042816262072642057,0.009775944974071523
67,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.000950428310865517,-0.0023486829839899285,0.004249539605720963,0.5723196715671013,0.7153995894588766
68,PCA_R,$\alpha$,genotype[T.Ntg]:sex[T.m],-0.011380333304390367,-0.02015499862355912,-0.0026056679852216134,0.011022577397090878,0.08573115753292906
69,PCA_R,$\alpha$,event_kind[T.without mouse cup]:sex[T.m],-0.002847955593183922,-0.006147066888039367,0.00045115570167152423,0.09065787504445948,0.3340026975322192
70,PCA_R,$\alpha$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0030647651756174257,-0.0016008827613454117,0.007730413112580263,0.19793443059164284,0.5206872647091384
73,PCA_R,$\beta$,genotype[T.Ntg],0.0009580430488035615,-0.0006575679963336421,0.0025736540939407648,0.24513746551734816,0.5845337443404509
74,PCA_R,$\beta$,event_kind[T.without mouse cup],0.0004386226042412658,-0.00012711406355958186,0.0010043592720421135,0.1286155089915579,0.40923116497313883
75,PCA_R,$\beta$,sex[T.m],0.002535460421442128,0.0009198493763049242,0.004151071466579332,0.002098886529109237,0.020988865291092368
76,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.without mouse cup],-0.00020815441018349025,-0.0010082268785192112,0.0005919180581522307,0.6101055882719395,0.7363343306730303
77,PCA_R,$\beta$,genotype[T.Ntg]:sex[T.m],-0.002151743962292686,-0.004436563013845489,0.0001330750892601174,0.06491987333714251,0.2840244458499985
78,PCA_R,$\beta$,event_kind[T.without mouse cup]:sex[T.m],-0.0007172311947180553,-0.0015173036630537762,8.284127361766569e-05,0.078913551984126,0.3068860354938234
79,PCA_R,$\beta$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],0.0005424249152702508,-0.0005890484203314443,0.0016738982508719459,0.3474223444908684,0.6290906679996286
82,PCA_R,$\gamma$,genotype[T.Ntg],0.0002932996289317907,-0.00047305112271206327,0.0010596503805756447,0.4531811120314537,0.6608891217125367
83,PCA_R,$\gamma$,event_kind[T.without mouse cup],-0.0001297481178902301,-0.00032854988262585655,6.90536468453963e-05,0.20083651638781053,0.5206872647091384
84,PCA_R,$\gamma$,sex[T.m],0.0012595497640275593,0.0004931990123837052,0.0020259005156714133,0.0012759509746535851,0.017863313645150192
85,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.without mouse cup],0.0002655109095846513,-1.563724232817688e-05,0.0005466590614974795,0.06417641473175147,0.2840244458499985
86,PCA_R,$\gamma$,genotype[T.Ntg]:sex[T.m],-0.0010463180770820825,-0.002130101703591637,3.7465549427471816e-05,0.05846306409386184,0.2840244458499985
87,PCA_R,$\gamma$,event_kind[T.without mouse cup]:sex[T.m],-3.208515930601764e-05,-0.0003132333112188459,0.0002490629926068106,0.8230103557695143,0.8644223228015578
88,PCA_R,$\gamma$,genotype[T.Ntg]:event_kind[T.without mouse cup]:sex[T.m],-4.5203464168595074e-05,-0.000442806993639848,0.00035240006530265787,0.8236694484223251,0.8644223228015578
