,subject_id,channel,band,psd_ratio,genotype
80,b1c3.3,A1_L,$\alpha$,1.0324472316848836,3xTg
81,b1c3.3,A1_L,$\beta$,0.8666671072665176,3xTg
82,b1c3.3,A1_L,$\delta$,1.1667036957469945,3xTg
83,b1c3.3,A1_L,$\gamma$,1.0369317854975142,3xTg
84,b1c3.3,A1_L,$\theta$,1.3390257285873262,3xTg
85,b1c3.3,A1_R,$\alpha$,1.1023478974126915,3xTg
86,b1c3.3,A1_R,$\beta$,0.8922991423457411,3xTg
87,b1c3.3,A1_R,$\delta$,1.1923355268518618,3xTg
88,b1c3.3,A1_R,$\gamma$,1.0183828377249167,3xTg
89,b1c3.3,A1_R,$\theta$,1.4132497312944685,3xTg
90,b1c3.3,ACA_R,$\alpha$,1.0749038149861092,3xTg
91,b1c3.3,ACA_R,$\beta$,0.8994831391780703,3xTg
92,b1c3.3,ACA_R,$\delta$,1.2024944216906164,3xTg
93,b1c3.3,ACA_R,$\gamma$,1.0848439002113768,3xTg
94,b1c3.3,ACA_R,$\theta$,1.3597317828323425,3xTg
95,b1c3.3,AI_L,$\alpha$,0.9724691940490017,3xTg
96,b1c3.3,AI_L,$\beta$,0.9316073328397326,3xTg
97,b1c3.3,AI_L,$\delta$,1.0925929075807719,3xTg
98,b1c3.3,AI_L,$\gamma$,1.0478608106903322,3xTg
99,b1c3.3,AI_L,$\theta$,1.2243259742989863,3xTg
100,b1c3.3,AI_R,$\alpha$,1.051790672546987,3xTg
101,b1c3.3,AI_R,$\beta$,0.871859694368569,3xTg
102,b1c3.3,AI_R,$\delta$,1.1550499790111217,3xTg
103,b1c3.3,AI_R,$\gamma$,1.0492023940213235,3xTg
104,b1c3.3,AI_R,$\theta$,1.3516835173100086,3xTg
105,b1c3.3,PCA_R,$\alpha$,1.0514623253189834,3xTg
106,b1c3.3,PCA_R,$\beta$,0.8853096484833911,3xTg
107,b1c3.3,PCA_R,$\delta$,1.161970635781291,3xTg
108,b1c3.3,PCA_R,$\gamma$,0.9904347692368055,3xTg
109,b1c3.3,PCA_R,$\theta$,1.316841054919534,3xTg
110,b1c3.3,PMC_R,$\alpha$,1.0413067853950708,3xTg
111,b1c3.3,PMC_R,$\beta$,0.8693222558988264,3xTg
112,b1c3.3,PMC_R,$\delta$,1.1574664658127694,3xTg
113,b1c3.3,PMC_R,$\gamma$,1.063816639186126,3xTg
114,b1c3.3,PMC_R,$\theta$,1.336319776390915,3xTg
115,b1c3.3,S1_L,$\alpha$,1.0193622842323151,3xTg
116,b1c3.3,S1_L,$\beta$,0.8896978510734289,3xTg
117,b1c3.3,S1_L,$\delta$,1.2149782070597634,3xTg
118,b1c3.3,S1_L,$\gamma$,0.9900162475027313,3xTg
119,b1c3.3,S1_L,$\theta$,1.3207236310954003,3xTg
120,b1c3.4,A1_L,$\alpha$,1.2064573602477726,3xTg
121,b1c3.4,A1_L,$\beta$,1.046303165127461,3xTg
122,b1c3.4,A1_L,$\delta$,0.9939934438757914,3xTg
123,b1c3.4,A1_L,$\gamma$,1.1326003421610242,3xTg
124,b1c3.4,A1_L,$\theta$,1.1876530448053277,3xTg
125,b1c3.4,A1_R,$\alpha$,1.1925085681727166,3xTg
126,b1c3.4,A1_R,$\beta$,1.0928220717792243,3xTg
127,b1c3.4,A1_R,$\delta$,0.9732131420794571,3xTg
128,b1c3.4,A1_R,$\gamma$,1.2938765090431412,3xTg
129,b1c3.4,A1_R,$\theta$,1.1625146700081654,3xTg
130,b1c3.4,ACA_R,$\alpha$,1.199111710751342,3xTg
131,b1c3.4,ACA_R,$\beta$,1.1312511336867617,3xTg
132,b1c3.4,ACA_R,$\delta$,0.9755139280328932,3xTg
133,b1c3.4,ACA_R,$\gamma$,1.2309616554608875,3xTg
134,b1c3.4,ACA_R,$\theta$,1.1550919558564883,3xTg
135,b1c3.4,AI_L,$\alpha$,1.3406415152848161,3xTg
136,b1c3.4,AI_L,$\beta$,1.2327351410184972,3xTg
137,b1c3.4,AI_L,$\delta$,0.9372902815805734,3xTg
138,b1c3.4,AI_L,$\gamma$,1.0979776061471775,3xTg
139,b1c3.4,AI_L,$\theta$,1.194058513303448,3xTg
140,b1c3.4,AI_R,$\alpha$,1.2100932899223769,3xTg
141,b1c3.4,AI_R,$\beta$,1.1799615328745703,3xTg
142,b1c3.4,AI_R,$\delta$,0.992364565351068,3xTg
143,b1c3.4,AI_R,$\gamma$,1.277621084357756,3xTg
144,b1c3.4,AI_R,$\theta$,1.1770571548643547,3xTg
145,b1c3.4,PCA_R,$\alpha$,1.1058903978265051,3xTg
146,b1c3.4,PCA_R,$\beta$,1.034609326525429,3xTg
147,b1c3.4,PCA_R,$\delta$,0.9446386650044561,3xTg
148,b1c3.4,PCA_R,$\gamma$,1.1005085954833824,3xTg
149,b1c3.4,PCA_R,$\theta$,1.0687646314182169,3xTg
150,b1c3.4,PMC_R,$\alpha$,1.2185257482753926,3xTg
151,b1c3.4,PMC_R,$\beta$,1.1709920197693826,3xTg
152,b1c3.4,PMC_R,$\delta$,0.9903079083911738,3xTg
153,b1c3.4,PMC_R,$\gamma$,1.2350770050239244,3xTg
154,b1c3.4,PMC_R,$\theta$,1.1722052437254555,3xTg
155,b1c3.4,S1_L,$\alpha$,1.1958304101608341,3xTg
156,b1c3.4,S1_L,$\beta$,1.0323915640524062,3xTg
157,b1c3.4,S1_L,$\delta$,1.006000609902644,3xTg
158,b1c3.4,S1_L,$\gamma$,1.0468720611590134,3xTg
159,b1c3.4,S1_L,$\theta$,1.1960791238888209,3xTg
160,b1c4.1,A1_L,$\alpha$,2.949374702358287,Ntg
161,b1c4.1,A1_L,$\beta$,1.6794454082614187,Ntg
162,b1c4.1,A1_L,$\delta$,2.7882727220301877,Ntg
163,b1c4.1,A1_L,$\gamma$,1.07328445167929,Ntg
164,b1c4.1,A1_L,$\theta$,2.9700100729575643,Ntg
165,b1c4.1,A1_R,$\alpha$,3.2598570233271915,Ntg
166,b1c4.1,A1_R,$\beta$,1.7655274583037308,Ntg
167,b1c4.1,A1_R,$\delta$,2.858867245834672,Ntg
168,b1c4.1,A1_R,$\gamma$,1.1065208844103334,Ntg
169,b1c4.1,A1_R,$\theta$,3.2900500478838195,Ntg
170,b1c4.1,ACA_R,$\alpha$,2.048649909376686,Ntg
171,b1c4.1,ACA_R,$\beta$,1.3269525261776831,Ntg
172,b1c4.1,ACA_R,$\delta$,2.076818624466537,Ntg
173,b1c4.1,ACA_R,$\gamma$,0.9893168075822865,Ntg
174,b1c4.1,ACA_R,$\theta$,2.192253015199004,Ntg
175,b1c4.1,AI_L,$\alpha$,1.8661741438056585,Ntg
176,b1c4.1,AI_L,$\beta$,1.3406740490293199,Ntg
177,b1c4.1,AI_L,$\delta$,1.8650711747865591,Ntg
178,b1c4.1,AI_L,$\gamma$,1.044877486034443,Ntg
179,b1c4.1,AI_L,$\theta$,1.9689584315181783,Ntg
180,b1c4.1,AI_R,$\alpha$,1.8712541421062034,Ntg
181,b1c4.1,AI_R,$\beta$,1.3498403796692153,Ntg
182,b1c4.1,AI_R,$\delta$,1.6203077168131348,Ntg
183,b1c4.1,AI_R,$\gamma$,1.0670095210989898,Ntg
184,b1c4.1,AI_R,$\theta$,1.7356214083257706,Ntg
185,b1c4.1,PCA_R,$\alpha$,2.5685289579795105,Ntg
186,b1c4.1,PCA_R,$\beta$,1.5477739589959243,Ntg
187,b1c4.1,PCA_R,$\delta$,2.655108726223164,Ntg
188,b1c4.1,PCA_R,$\gamma$,1.0259538555870678,Ntg
189,b1c4.1,PCA_R,$\theta$,2.911299077858382,Ntg
190,b1c4.1,PMC_R,$\alpha$,2.3861405125027355,Ntg
191,b1c4.1,PMC_R,$\beta$,1.5005214448628312,Ntg
192,b1c4.1,PMC_R,$\delta$,2.5248810076527017,Ntg
193,b1c4.1,PMC_R,$\gamma$,0.9762208966538186,Ntg
194,b1c4.1,PMC_R,$\theta$,2.716543621038217,Ntg
195,b1c4.1,S1_L,$\alpha$,2.5964215415150194,Ntg
196,b1c4.1,S1_L,$\beta$,1.514250718678602,Ntg
197,b1c4.1,S1_L,$\delta$,2.5251762068037427,Ntg
198,b1c4.1,S1_L,$\gamma$,0.9020504280038583,Ntg
199,b1c4.1,S1_L,$\theta$,2.7401129490171776,Ntg
200,b1c4.2,A1_L,$\alpha$,1.1636909522792362,Ntg
201,b1c4.2,A1_L,$\beta$,1.0648012654810486,Ntg
202,b1c4.2,A1_L,$\delta$,0.7643978996301687,Ntg
203,b1c4.2,A1_L,$\gamma$,1.1108953042756013,Ntg
204,b1c4.2,A1_L,$\theta$,1.3006586787535257,Ntg
205,b1c4.2,A1_R,$\alpha$,1.131996089329776,Ntg
206,b1c4.2,A1_R,$\beta$,1.1632610549726954,Ntg
207,b1c4.2,A1_R,$\delta$,0.8580854402354129,Ntg
208,b1c4.2,A1_R,$\gamma$,1.389687370320984,Ntg
209,b1c4.2,A1_R,$\theta$,1.3356293100768233,Ntg
210,b1c4.2,ACA_R,$\alpha$,1.1415007957076453,Ntg
211,b1c4.2,ACA_R,$\beta$,1.1156121387418416,Ntg
212,b1c4.2,ACA_R,$\delta$,1.1131336738727011,Ntg
213,b1c4.2,ACA_R,$\gamma$,1.0963135425306068,Ntg
214,b1c4.2,ACA_R,$\theta$,1.210526979092988,Ntg
215,b1c4.2,AI_L,$\alpha$,0.9393828044042738,Ntg
216,b1c4.2,AI_L,$\beta$,0.7125854118823256,Ntg
217,b1c4.2,AI_L,$\delta$,1.6093854471289404,Ntg
218,b1c4.2,AI_L,$\gamma$,1.1411935448820696,Ntg
219,b1c4.2,AI_L,$\theta$,1.325366424246813,Ntg
220,b1c4.2,AI_R,$\alpha$,1.1269748011388359,Ntg
221,b1c4.2,AI_R,$\beta$,1.0862075843488253,Ntg
222,b1c4.2,AI_R,$\delta$,1.3990111759823884,Ntg
223,b1c4.2,AI_R,$\gamma$,1.1507398510300022,Ntg
224,b1c4.2,AI_R,$\theta$,1.3340262789328596,Ntg
225,b1c4.2,PCA_R,$\alpha$,1.1494319285480947,Ntg
226,b1c4.2,PCA_R,$\beta$,1.028474449947386,Ntg
227,b1c4.2,PCA_R,$\delta$,0.9166046485801185,Ntg
228,b1c4.2,PCA_R,$\gamma$,1.0999788625678608,Ntg
229,b1c4.2,PCA_R,$\theta$,1.2201742656821835,Ntg
230,b1c4.2,PMC_R,$\alpha$,1.0771435781424006,Ntg
231,b1c4.2,PMC_R,$\beta$,1.1062812345238888,Ntg
232,b1c4.2,PMC_R,$\delta$,1.2567917880835795,Ntg
233,b1c4.2,PMC_R,$\gamma$,1.119970556820026,Ntg
234,b1c4.2,PMC_R,$\theta$,1.334661974183147,Ntg
235,b1c4.2,S1_L,$\alpha$,1.1327967762044053,Ntg
236,b1c4.2,S1_L,$\beta$,1.033843414040687,Ntg
237,b1c4.2,S1_L,$\delta$,0.8281770209381856,Ntg
238,b1c4.2,S1_L,$\gamma$,1.0480906544651654,Ntg
239,b1c4.2,S1_L,$\theta$,1.2492681350015298,Ntg
240,b1c4.3,A1_L,$\alpha$,0.3756356399996883,Ntg
241,b1c4.3,A1_L,$\beta$,0.40308600713308307,Ntg
242,b1c4.3,A1_L,$\delta$,0.4203575015698116,Ntg
243,b1c4.3,A1_L,$\gamma$,0.8004155120329812,Ntg
244,b1c4.3,A1_L,$\theta$,0.41035881640740274,Ntg
245,b1c4.3,A1_R,$\alpha$,0.3727498436019824,Ntg
246,b1c4.3,A1_R,$\beta$,0.4034468937378187,Ntg
247,b1c4.3,A1_R,$\delta$,0.43181412012935977,Ntg
248,b1c4.3,A1_R,$\gamma$,0.863151502622112,Ntg
249,b1c4.3,A1_R,$\theta$,0.40914130562003376,Ntg
250,b1c4.3,ACA_R,$\alpha$,0.38575831602932176,Ntg
251,b1c4.3,ACA_R,$\beta$,0.4055673465471519,Ntg
252,b1c4.3,ACA_R,$\delta$,0.4487920680796029,Ntg
253,b1c4.3,ACA_R,$\gamma$,0.8450869339539617,Ntg
254,b1c4.3,ACA_R,$\theta$,0.4292987479717641,Ntg
255,b1c4.3,AI_L,$\alpha$,0.3830761541063356,Ntg
256,b1c4.3,AI_L,$\beta$,0.40419513203175134,Ntg
257,b1c4.3,AI_L,$\delta$,0.435211229801014,Ntg
258,b1c4.3,AI_L,$\gamma$,0.8432410214779318,Ntg
259,b1c4.3,AI_L,$\theta$,0.42088843759928307,Ntg
260,b1c4.3,AI_R,$\alpha$,0.4009511600796534,Ntg
261,b1c4.3,AI_R,$\beta$,0.40848960757860575,Ntg
262,b1c4.3,AI_R,$\delta$,0.4311861190553898,Ntg
263,b1c4.3,AI_R,$\gamma$,0.8330106443134468,Ntg
264,b1c4.3,AI_R,$\theta$,0.4397985599177938,Ntg
265,b1c4.3,PCA_R,$\alpha$,0.37792325653426906,Ntg
266,b1c4.3,PCA_R,$\beta$,0.4045374684542531,Ntg
267,b1c4.3,PCA_R,$\delta$,0.4264337766513661,Ntg
268,b1c4.3,PCA_R,$\gamma$,0.8047398695511807,Ntg
269,b1c4.3,PCA_R,$\theta$,0.4138318861901691,Ntg
270,b1c4.3,PMC_R,$\alpha$,0.39749329215099466,Ntg
271,b1c4.3,PMC_R,$\beta$,0.4080327041106782,Ntg
272,b1c4.3,PMC_R,$\delta$,0.4416425688409978,Ntg
273,b1c4.3,PMC_R,$\gamma$,0.8441868805228979,Ntg
274,b1c4.3,PMC_R,$\theta$,0.4349631241775739,Ntg
275,b1c4.3,S1_L,$\alpha$,0.37725881457650057,Ntg
276,b1c4.3,S1_L,$\beta$,0.40157072480411676,Ntg
277,b1c4.3,S1_L,$\delta$,0.4272910926937768,Ntg
278,b1c4.3,S1_L,$\gamma$,0.815896516187526,Ntg
279,b1c4.3,S1_L,$\theta$,0.4132095069339874,Ntg
280,b1c4.4,A1_L,$\alpha$,1.7755086635429351,Ntg
281,b1c4.4,A1_L,$\beta$,1.40640060330824,Ntg
282,b1c4.4,A1_L,$\delta$,2.0198736776744863,Ntg
283,b1c4.4,A1_L,$\gamma$,1.0134917304723872,Ntg
284,b1c4.4,A1_L,$\theta$,1.7698411776230185,Ntg
285,b1c4.4,A1_R,$\alpha$,1.9429193447677175,Ntg
286,b1c4.4,A1_R,$\beta$,1.4233078540822572,Ntg
287,b1c4.4,A1_R,$\delta$,1.956582864199049,Ntg
288,b1c4.4,A1_R,$\gamma$,1.0724679756933215,Ntg
289,b1c4.4,A1_R,$\theta$,1.8548472022396245,Ntg
290,b1c4.4,ACA_R,$\alpha$,1.5680058981078764,Ntg
291,b1c4.4,ACA_R,$\beta$,1.296006740359069,Ntg
292,b1c4.4,ACA_R,$\delta$,1.8308081697238714,Ntg
293,b1c4.4,ACA_R,$\gamma$,1.0676520684635935,Ntg
294,b1c4.4,ACA_R,$\theta$,1.6358504583436155,Ntg
295,b1c4.4,AI_L,$\alpha$,1.738604259117217,Ntg
296,b1c4.4,AI_L,$\beta$,1.3250488445733566,Ntg
297,b1c4.4,AI_L,$\delta$,1.7058821418161294,Ntg
298,b1c4.4,AI_L,$\gamma$,1.0335851291833338,Ntg
299,b1c4.4,AI_L,$\theta$,1.783179542251019,Ntg
300,b1c4.4,AI_R,$\alpha$,1.3795322776199004,Ntg
301,b1c4.4,AI_R,$\beta$,1.1126913453003806,Ntg
302,b1c4.4,AI_R,$\delta$,1.6926285213273318,Ntg
303,b1c4.4,AI_R,$\gamma$,1.041755994261593,Ntg
304,b1c4.4,AI_R,$\theta$,1.4654312728799719,Ntg
305,b1c4.4,PCA_R,$\alpha$,1.5582210402472363,Ntg
306,b1c4.4,PCA_R,$\beta$,1.2163756305232876,Ntg
307,b1c4.4,PCA_R,$\delta$,1.954046897982268,Ntg
308,b1c4.4,PCA_R,$\gamma$,1.014937239134237,Ntg
309,b1c4.4,PCA_R,$\theta$,1.6488681647180736,Ntg
310,b1c4.4,PMC_R,$\alpha$,1.2403555207367858,Ntg
311,b1c4.4,PMC_R,$\beta$,1.1465747472784702,Ntg
312,b1c4.4,PMC_R,$\delta$,2.021151630681604,Ntg
313,b1c4.4,PMC_R,$\gamma$,1.0642173602976173,Ntg
314,b1c4.4,PMC_R,$\theta$,1.5189459267187728,Ntg
315,b1c4.4,S1_L,$\alpha$,1.6880247403131485,Ntg
316,b1c4.4,S1_L,$\beta$,1.3398714539743894,Ntg
317,b1c4.4,S1_L,$\delta$,1.8220411244430537,Ntg
318,b1c4.4,S1_L,$\gamma$,1.0027274666996484,Ntg
319,b1c4.4,S1_L,$\theta$,1.660258311341414,Ntg
320,b2c3.1,A1_L,$\alpha$,2.1955344378196364,3xTg
321,b2c3.1,A1_L,$\beta$,1.2472697371529264,3xTg
322,b2c3.1,A1_L,$\delta$,1.1083142013587017,3xTg
323,b2c3.1,A1_L,$\gamma$,1.1380837435654352,3xTg
324,b2c3.1,A1_L,$\theta$,2.5048842690085684,3xTg
325,b2c3.1,A1_R,$\alpha$,2.2497764544332877,3xTg
326,b2c3.1,A1_R,$\beta$,1.3379173217343387,3xTg
327,b2c3.1,A1_R,$\delta$,1.3604745286178106,3xTg
328,b2c3.1,A1_R,$\gamma$,1.1717491575883883,3xTg
329,b2c3.1,A1_R,$\theta$,2.6587192527957435,3xTg
330,b2c3.1,ACA_R,$\alpha$,2.45323090943408,3xTg
331,b2c3.1,ACA_R,$\beta$,1.7506454645802831,3xTg
332,b2c3.1,ACA_R,$\delta$,1.3041323593055678,3xTg
333,b2c3.1,ACA_R,$\gamma$,1.1610778519340406,3xTg
334,b2c3.1,ACA_R,$\theta$,2.397912626725634,3xTg
335,b2c3.1,AI_L,$\alpha$,2.4281897913993653,3xTg
336,b2c3.1,AI_L,$\beta$,1.727235768735354,3xTg
337,b2c3.1,AI_L,$\delta$,1.207469113575092,3xTg
338,b2c3.1,AI_L,$\gamma$,1.2293098070574386,3xTg
339,b2c3.1,AI_L,$\theta$,2.45325036220656,3xTg
340,b2c3.1,AI_R,$\alpha$,2.2736678257242486,3xTg
341,b2c3.1,AI_R,$\beta$,1.7937797352031168,3xTg
342,b2c3.1,AI_R,$\delta$,1.3410689203984847,3xTg
343,b2c3.1,AI_R,$\gamma$,1.289572870700681,3xTg
344,b2c3.1,AI_R,$\theta$,2.441015787223333,3xTg
345,b2c3.1,PCA_R,$\alpha$,1.8360494118568873,3xTg
346,b2c3.1,PCA_R,$\beta$,1.0756292740543327,3xTg
347,b2c3.1,PCA_R,$\delta$,1.12335184867397,3xTg
348,b2c3.1,PCA_R,$\gamma$,1.1901634519380608,3xTg
349,b2c3.1,PCA_R,$\theta$,2.12397802286341,3xTg
350,b2c3.1,PMC_R,$\alpha$,1.931231960086604,3xTg
351,b2c3.1,PMC_R,$\beta$,1.6208319224434093,3xTg
352,b2c3.1,PMC_R,$\delta$,1.2283940199127292,3xTg
353,b2c3.1,PMC_R,$\gamma$,1.2298300247610798,3xTg
354,b2c3.1,PMC_R,$\theta$,2.2450608781061474,3xTg
355,b2c3.1,S1_L,$\alpha$,2.037998994762185,3xTg
356,b2c3.1,S1_L,$\beta$,1.213940537266844,3xTg
357,b2c3.1,S1_L,$\delta$,1.0671419744148514,3xTg
358,b2c3.1,S1_L,$\gamma$,1.1195756555534464,3xTg
359,b2c3.1,S1_L,$\theta$,2.201610251243064,3xTg
360,b2c3.2,A1_L,$\alpha$,1.5226793783666526,3xTg
361,b2c3.2,A1_L,$\beta$,1.1819923874894638,3xTg
362,b2c3.2,A1_L,$\delta$,2.0591598528402244,3xTg
363,b2c3.2,A1_L,$\gamma$,0.9623667895543394,3xTg
364,b2c3.2,A1_L,$\theta$,1.269341643971943,3xTg
365,b2c3.2,A1_R,$\alpha$,1.5996802226080131,3xTg
366,b2c3.2,A1_R,$\beta$,1.2432503350692603,3xTg
367,b2c3.2,A1_R,$\delta$,2.057138274890028,3xTg
368,b2c3.2,A1_R,$\gamma$,1.0161514143743926,3xTg
369,b2c3.2,A1_R,$\theta$,1.2587910994372535,3xTg
370,b2c3.2,ACA_R,$\alpha$,1.4863075853376249,3xTg
371,b2c3.2,ACA_R,$\beta$,1.1449316489523864,3xTg
372,b2c3.2,ACA_R,$\delta$,1.9287775559326104,3xTg
373,b2c3.2,ACA_R,$\gamma$,1.0390249893114356,3xTg
374,b2c3.2,ACA_R,$\theta$,1.1861903388890096,3xTg
375,b2c3.2,AI_L,$\alpha$,1.4994984347550067,3xTg
376,b2c3.2,AI_L,$\beta$,1.1279108740005452,3xTg
377,b2c3.2,AI_L,$\delta$,1.7778535931250274,3xTg
378,b2c3.2,AI_L,$\gamma$,0.9932298614524244,3xTg
379,b2c3.2,AI_L,$\theta$,1.1510700894279915,3xTg
380,b2c3.2,AI_R,$\alpha$,1.4673583682506344,3xTg
381,b2c3.2,AI_R,$\beta$,1.1884558151082494,3xTg
382,b2c3.2,AI_R,$\delta$,1.7761254712533339,3xTg
383,b2c3.2,AI_R,$\gamma$,1.0203318496831943,3xTg
384,b2c3.2,AI_R,$\theta$,1.152314710198856,3xTg
385,b2c3.2,PCA_R,$\alpha$,1.3516202002869053,3xTg
386,b2c3.2,PCA_R,$\beta$,1.095771221183539,3xTg
387,b2c3.2,PCA_R,$\delta$,1.9746605859943511,3xTg
388,b2c3.2,PCA_R,$\gamma$,0.9672496828189766,3xTg
389,b2c3.2,PCA_R,$\theta$,1.1976680073959256,3xTg
390,b2c3.2,PMC_R,$\alpha$,1.4414378061018036,3xTg
391,b2c3.2,PMC_R,$\beta$,1.1524777038575846,3xTg
392,b2c3.2,PMC_R,$\delta$,1.7977180342524093,3xTg
393,b2c3.2,PMC_R,$\gamma$,0.9540648789298171,3xTg
394,b2c3.2,PMC_R,$\theta$,1.1425917777618653,3xTg
395,b2c3.2,S1_L,$\alpha$,1.497172080789673,3xTg
396,b2c3.2,S1_L,$\beta$,1.1066147743679495,3xTg
397,b2c3.2,S1_L,$\delta$,2.043660205649795,3xTg
398,b2c3.2,S1_L,$\gamma$,0.9754721635896413,3xTg
399,b2c3.2,S1_L,$\theta$,1.2568566483666777,3xTg
400,b2c3.3,A1_L,$\alpha$,1.0425784795042108,3xTg
401,b2c3.3,A1_L,$\beta$,1.014551412367694,3xTg
402,b2c3.3,A1_L,$\delta$,1.2510048115089825,3xTg
