,node,band_clean,interaction_kind,comparison,group_a,group_b,test,stat,p,normal_x,normal_y,mean_x,mean_y,diff_x_minus_y,cliffs_delta,n_x,n_y,p_fdr
0,PCA_R,alpha,familiar cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,90.0,0.056873036034794405,False,True,0.8156269889886787,0.6398754439854898,0.1757515450031889,0.48760330578512395,11,11,0.142182590086986
1,PCA_R,alpha,familiar cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,40.0,0.3072263700681952,True,False,0.542702112184769,0.6872813909831901,-0.14457927879842103,-0.2727272727272727,10,11,0.8549350237172262
2,PCA_R,alpha,familiar cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,82.0,0.062031041815364105,False,True,0.8156269889886787,0.542702112184769,0.27292487680390964,0.4909090909090909,11,10,0.12406208363072821
3,PCA_R,alpha,familiar cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,45.0,0.32463627173040743,True,False,0.6398754439854898,0.6872813909831901,-0.04740594699770029,-0.256198347107438,11,11,0.8562295663271942
4,PCA_R,alpha,novel cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,2.805423942430542,0.011039735192347407,True,True,0.8386006163728834,0.6442479188976108,0.19435269747527262,0.6859504132231405,11,11,0.0659538076516962
5,PCA_R,alpha,novel cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,50.0,0.7513343125576336,False,False,0.5566465878028286,0.6225282195022767,-0.06588163169944805,-0.09090909090909091,10,11,0.8549350237172262
6,PCA_R,alpha,novel cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,83.0,0.05280751141611358,True,False,0.8386006163728834,0.5566465878028286,0.2819540285700548,0.509090909090909,11,10,0.12406208363072821
7,PCA_R,alpha,novel cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,52.0,0.5993606964290359,True,False,0.6442479188976108,0.6225282195022767,0.021719699395334136,-0.14049586776859505,11,11,0.8562295663271942
8,PCA_R,beta,familiar cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.5202535490301629,0.6099666468850581,True,True,0.4238224510559927,0.38995291940833604,0.03386953164765666,0.10743801652892562,11,11,0.8713809241215116
9,PCA_R,beta,familiar cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-0.8695545139515031,0.39616502444386315,True,True,0.25665991033095403,0.335084457281367,-0.07842454695041295,-0.23636363636363636,10,11,0.8549350237172262
10,PCA_R,beta,familiar cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,2.154949597104038,0.05081025516821472,True,True,0.4238224510559927,0.25665991033095403,0.16716254072503867,0.43636363636363634,11,10,0.12406208363072821
11,PCA_R,beta,familiar cup,control_sex,Ntg_m,Ntg_f,Welch t-test,0.6882767756619704,0.49918494499839816,True,True,0.38995291940833604,0.335084457281367,0.05486846212696905,0.2066115702479339,11,11,0.8562295663271942
12,PCA_R,beta,novel cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.946125267006354,0.3559319807295379,True,True,0.46657673051145054,0.3972323487872503,0.06934438172420027,0.2066115702479339,11,11,0.5989919567917672
13,PCA_R,beta,novel cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,0.18963666711038968,0.8520131795714342,True,True,0.34598946170312683,0.32860116517751525,0.01738829652561158,0.05454545454545454,10,11,0.8549350237172262
14,PCA_R,beta,novel cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,1.35086593850322,0.1969822337639189,True,True,0.46657673051145054,0.34598946170312683,0.12058726880832371,0.2,11,10,0.3283037229398649
15,PCA_R,beta,novel cup,control_sex,Ntg_m,Ntg_f,Welch t-test,0.9003272779513583,0.37884095536995666,True,True,0.3972323487872503,0.32860116517751525,0.06863118360973502,0.10743801652892562,11,11,0.8562295663271942
16,PCA_R,delta,familiar cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.9417408003677742,0.3593951740750603,True,True,0.2071945148967629,0.15241573013682774,0.05477878475993517,0.2231404958677686,11,11,0.5989919567917672
17,PCA_R,delta,familiar cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,0.6586123546034642,0.5181084989129914,True,True,0.1718142960667108,0.14119881470906614,0.030615481357644664,0.12727272727272726,10,11,0.8549350237172262
18,PCA_R,delta,familiar cup,disease_sex,3xTg_m,3xTg_f,Welch t-test,0.6151597723771172,0.5468272825744431,True,True,0.2071945148967629,0.1718142960667108,0.0353802188300521,0.10909090909090909,11,10,0.7811818322492046
19,PCA_R,delta,familiar cup,control_sex,Ntg_m,Ntg_f,Welch t-test,0.2371880104326459,0.814948801893101,True,True,0.15241573013682774,0.14119881470906614,0.011216915427761598,0.09090909090909091,11,11,0.9476445296225945
20,PCA_R,delta,novel cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,59.0,0.9476445296225945,False,True,0.15294188636075934,0.13837712738215274,0.014564758978606596,-0.024793388429752067,11,11,1.0
21,PCA_R,delta,novel cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-1.2835514834671067,0.2221848448778719,True,True,0.12279855855024673,0.17712161587055422,-0.0543230573203075,-0.2,10,11,0.8549350237172262
