,metric,rho,p
0,delta_wpli2,-0.31244337058290544,0.04136650943986375
1,theta_wpli2,0.05844155844155843,0.7097046463838173
2,alpha_wpli2,0.10978556327393538,0.4834145971291989
3,beta_wpli2,0.2097553609181516,0.17701567735734475
4,gamma_wpli2,0.0749018423437028,0.6331039588719902
