,metric,rho,p
0,delta_wpli2,-0.2806201550387597,0.06502230625178392
1,theta_wpli2,0.06793516560958422,0.6612668101044621
2,alpha_wpli2,0.07329105003523607,0.6363566709469347
3,beta_wpli2,0.13587033121916844,0.37918226191039506
4,gamma_wpli2,0.21620859760394645,0.15865358173551486
