,node,band_clean,interaction_kind,comparison,group_a,group_b,test,stat,p,normal_x,normal_y,mean_x,mean_y,diff_x_minus_y,cliffs_delta,n_x,n_y,p_fdr
0,PCA_R,alpha,with mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,2.9638618755881656,0.008044225207292564,True,True,0.8550038866987318,0.632310978329319,0.2226929083694128,0.6694214876033058,11,11,0.04295061879334542
1,PCA_R,alpha,with mouse cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,50.0,0.5114059218501164,False,True,0.620629153905884,0.6688070550377375,-0.048177901131853496,-0.17355371900826447,11,11,0.7421082590238243
2,PCA_R,alpha,with mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,92.0,0.04178899680298453,True,False,0.8550038866987318,0.620629153905884,0.23437473279284782,0.5206611570247934,11,11,0.13929665600994842
3,PCA_R,alpha,with mouse cup,control_sex,Ntg_m,Ntg_f,Welch t-test,-0.3312298688626774,0.7445089205303734,True,True,0.632310978329319,0.6688070550377375,-0.03649607670841848,-0.2066115702479339,11,11,0.9306361506629668
4,PCA_R,alpha,without mouse cup,male_genotype,3xTg_m,Ntg_m,Mann–Whitney U,86.0,0.10066768749863966,False,True,0.792833136827941,0.6395806107494947,0.1532525260784463,0.4214876033057851,11,11,0.25166921874659914
5,PCA_R,alpha,without mouse cup,female_genotype,3xTg_f,Ntg_f,Mann–Whitney U,53.0,0.6457638203049723,True,False,0.6475294583833033,0.6979707417938023,-0.050441283410498916,-0.12396694214876033,11,11,0.7421082590238243
6,PCA_R,alpha,without mouse cup,disease_sex,3xTg_m,3xTg_f,Mann–Whitney U,81.0,0.18908180596451618,False,True,0.792833136827941,0.6475294583833033,0.14530367844463765,0.33884297520661155,11,11,0.37816361192903236
7,PCA_R,alpha,without mouse cup,control_sex,Ntg_m,Ntg_f,Mann–Whitney U,39.0,0.16790547565263503,True,False,0.6395806107494947,0.6979707417938023,-0.05839013104430757,-0.35537190082644626,11,11,0.9306361506629668
8,PCA_R,beta,with mouse cup,male_genotype,3xTg_m,Ntg_m,Welch t-test,0.754261557537801,0.4594854574302303,True,True,0.4457004739734447,0.38433165486539395,0.061368819108050754,0.15702479338842976,11,11,0.8225839086980415
9,PCA_R,beta,with mouse cup,female_genotype,3xTg_f,Ntg_f,Welch t-test,-0.6364719519043699,0.5316873362835521,True,True,0.29711952138444997,0.3481522442049831,-0.051032722820533116,-0.17355371900826447,11,11,0.7421082590238243
