pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,p_corrected,significant_corrected,significant_uncorrected
S1_L–AI_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.1199427558177591,0.9057252210850211,0.2950899276479256,0.08050958142092075,11,0.28140518863094716,0.08084324064024569,11,0.18422775757032758,0.16272703013281262,0.9821426366755693,False,False
S1_L–AI_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.09403112007749026,0.9260202002941083,0.5122711822434366,0.09755095624923363,11,0.5251757739525451,0.09652942700725685,11,0.5016770059747118,0.22103006694559849,0.9821426366755693,False,False
S1_L–AI_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,71.0,0.5114059218501164,0.18553318044155925,0.05285431340000506,11,0.12281466885056708,0.0378930701787432,11,0.03785016179137472,0.4859178075601982,0.9100680927698735,False,False
S1_L–AI_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.6613559335977172,0.518633636962281,0.039771170954896566,0.011422051398123065,11,0.04821060908757295,0.005689906990769516,11,0.19211032113234489,0.6100975561532969,0.9100680927698735,False,False
S1_L–AI_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,0.2797048185571084,0.7828864191584448,0.19193708655682687,0.06255277926285553,11,0.17048148406858976,0.04439898601377088,11,0.19471509303716825,0.5770790768501158,0.9249480527374185,False,False
S1_L–AI_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,1.8390285638503758,0.08084189417458107,0.4995652508185651,0.07668550118537998,11,0.2950899276479256,0.08050958142092075,11,0.9059306294866901,0.18422775757032758,0.4182441725784742,False,False
S1_L–AI_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,78.0,0.26429152373398135,0.6750299153697311,0.10380937028146549,11,0.5122711822434366,0.09755095624923363,11,0.026135257364086013,0.5016770059747118,0.6379450572889205,False,False
S1_L–AI_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,84.0,0.13096810379821186,0.30658238935737,0.05102256042143766,11,0.18553318044155925,0.05285431340000506,11,0.8274833090980166,0.03785016179137472,0.5284533903943547,False,False
S1_L–AI_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,79.0,0.23721752775378102,0.0773988903969253,0.022293184349418925,11,0.039771170954896566,0.011422051398123065,11,0.04762297657137065,0.19211032113234489,0.6276185107114057,False,False
S1_L–AI_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,72.0,0.4701007598741287,0.21116179856034878,0.06998320532059077,11,0.1258787931526295,0.043031399259388564,11,0.05196369488089524,0.03077674241020079,0.9628692552249887,False,False
S1_L–AI_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.6364418708162254,0.5317710998992613,0.3579236968403376,0.08899035955504274,11,0.28140518863094716,0.08084324064024569,11,0.36599577902927916,0.16272703013281262,0.9628692552249887,False,False
S1_L–AI_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.5304585225062918,0.6016653755837253,0.4499837111299975,0.10380222033209079,11,0.5251757739525451,0.09652942700725685,11,0.16872928323611205,0.22103006694559849,0.9628692552249887,False,False
S1_L–AI_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,69.0,0.5993606964290359,0.21257305123536777,0.06846736071527063,11,0.12281466885056708,0.0378930701787432,11,0.004516162627277405,0.4859178075601982,0.9628692552249887,False,False
S1_L–AI_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.6633730470512601,0.5179031170132942,0.05734363738439252,0.01253677269717397,11,0.04821060908757295,0.005689906990769516,11,0.2347961502223799,0.6100975561532969,0.9628692552249887,False,False
S1_L–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,83.0,0.14856177489186861,0.16271075490507025,0.06596270308142406,11,0.04689668869475006,0.031020662167735854,11,0.004872300050299669,0.016685815791750828,0.5580862732019346,False,False
S1_L–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,97.0,0.018081721820705336,0.7260373235609134,0.07159013012974136,11,0.4545042040246025,0.07795311429475554,11,0.027936617473787256,0.12415376161610812,0.31643013186234337,False,True
S1_L–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,94.0,0.03023902101614863,0.9245102498073433,0.03633650590779015,11,0.7466879789192102,0.07993920234548448,11,8.517637164881108e-05,0.03533321303889389,0.32565099555852367,False,True
S1_L–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.23339053119732978,0.818010078559188,0.4486839676429581,0.06080491232593362,11,0.42509134721277986,0.08075415256205738,11,0.9963432888110464,0.7157768030948884,0.9229406213636551,False,False
S1_L–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,65.0,0.792812616632073,0.08345976905139411,0.020887212672578703,11,0.06468099725712605,0.011470664733041019,11,0.011597909783689091,0.3696786134779321,0.9173038539544647,False,False
S1_L–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,56.0,0.792812616632073,0.08787209488712534,0.027397864488643165,11,0.19779334303722382,0.07825200436249637,11,0.5676627064310953,0.0196428387553132,0.9758944881110359,False,False
S1_L–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.46089033392513434,0.6498500289765676,0.47027882342419647,0.09169233526293563,11,0.5302491077655375,0.09232170703115052,11,0.2600971200130102,0.7496679688479895,0.9717155015256758,False,False
S1_L–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,53.0,0.6457638203049723,0.6744433848839373,0.11756981999124823,11,0.7487715385864316,0.09138019485940592,11,0.0015989554965416461,0.00896109594281755,0.9717155015256758,False,False
S1_L–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-1.6334246846742766,0.11839756804041214,0.27512160718158113,0.061860650329540905,11,0.40808307173495845,0.05290830967050665,11,0.7957991455797155,0.27448118863538495,0.8492840289097786,False,False
S1_L–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.9521782808139588,0.35365744809255584,0.055779551755795055,0.007951685859267681,11,0.06894466019118528,0.011310943117109569,11,0.6849429071919861,0.7810209729514712,0.8492840289097786,False,False
S1_L–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,65.0,0.792812616632073,0.16271075490507025,0.06596270308142406,11,0.08787209488712534,0.027397864488643165,11,0.004872300050299669,0.5676627064310953,0.9249480527374185,False,False
S1_L–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,88.0,0.07623611561456438,0.7260373235609134,0.07159013012974136,11,0.47027882342419647,0.09169233526293563,11,0.027936617473787256,0.2600971200130102,0.4182441725784742,False,False
S1_L–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,95.0,0.02557464990093703,0.9245102498073433,0.03633650590779015,11,0.6744433848839373,0.11756981999124823,11,8.517637164881108e-05,0.0015989554965416461,0.3900306368278556,False,True
S1_L–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,2.000929587404612,0.0591617699575448,0.4486839676429581,0.06080491232593362,11,0.27512160718158113,0.061860650329540905,11,0.9963432888110464,0.7957991455797155,0.4182441725784742,False,False
S1_L–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,73.0,0.430708328947102,0.08345976905139411,0.020887212672578703,11,0.055779551755795055,0.007951685859267681,11,0.011597909783689091,0.6849429071919861,0.783964082757057,False,False
S1_L–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,38.0,0.14856177489186861,0.04689668869475006,0.031020662167735854,11,0.19779334303722382,0.07825200436249637,11,0.016685815791750828,0.0196428387553132,0.9628692552249887,False,False
S1_L–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.6268695924439409,0.5380326852542956,0.4545042040246025,0.07795311429475554,11,0.5302491077655375,0.09232170703115052,11,0.12415376161610812,0.7496679688479895,0.9628692552249887,False,False
S1_L–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,57.0,0.8438314252467704,0.7466879789192102,0.07993920234548448,11,0.7487715385864316,0.09138019485940592,11,0.03533321303889389,0.00896109594281755,0.9628692552249887,False,False
S1_L–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.17617332634902697,0.8622095650333769,0.42509134721277986,0.08075415256205738,11,0.40808307173495845,0.05290830967050665,11,0.7157768030948884,0.27448118863538495,0.9734624121344578,False,False
S1_L–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.2646688416049917,0.7939735342347374,0.06468099725712605,0.011470664733041019,11,0.06894466019118528,0.011310943117109569,11,0.3696786134779321,0.7810209729514712,0.9628692552249887,False,False
S1_L–PMC_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,74.0,0.39330163935061535,0.21781801852387403,0.0646827018190327,11,0.1649847594369163,0.07299670325072947,11,0.09126352479802563,0.01710823002826072,0.7150938897283915,False,False
S1_L–PMC_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,79.0,0.23721752775378102,0.2801276566173532,0.06311930938033786,11,0.18132551807225528,0.08262787785333947,11,0.01404963649405596,0.013837441405328138,0.5951078940969817,False,False
S1_L–PMC_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,1.4208693746629606,0.17141221248345134,0.4222768549977692,0.07048159757845598,11,0.26321038501663374,0.08697798292394045,11,0.7915934675256269,0.1895416106639257,0.5580862732019346,False,False
S1_L–PMC_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,78.0,0.26429152373398135,0.14144711333594806,0.03953327681527787,11,0.12352367249605636,0.06652549762983759,11,0.18628214026859935,0.0002558150815815309,0.6107056783714631,False,False
S1_L–PMC_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,61.0,1.0,0.032324832723669705,0.008193303700555146,11,0.02817231171653106,0.007608711694983515,11,0.04394247071397795,0.2051346928348899,1.0,False,False
S1_L–PMC_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-1.1531601197000796,0.26513498964501603,0.14654944964472988,0.03747505440456917,11,0.228871612233708,0.06076110927323239,11,0.3968994545715815,0.19914859657896078,0.8492840289097786,False,False
S1_L–PMC_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.13501227392937018,0.8939907690971078,0.2322529197985567,0.05475421830412016,11,0.24191509714928472,0.04608199443321892,11,0.1291386490999057,0.6122424216779621,0.9821426366755693,False,False
S1_L–PMC_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,77.0,0.2934238832742103,0.46131863684875457,0.07836868952797421,11,0.324717574990264,0.08575187282654477,11,0.20063264166869557,0.01862330042147871,0.8492840289097786,False,False
S1_L–PMC_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,78.0,0.26429152373398135,0.1569416527170553,0.03786688458740956,11,0.09992782261600718,0.04982048912191003,11,0.1302593954553346,0.0002036758677595966,0.8492840289097786,False,False
S1_L–PMC_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,48.0,0.430708328947102,0.025774035669817053,0.011129874733031809,11,0.0395507456041255,0.014049986241262132,11,6.909982760229004e-05,0.009347507388613676,0.8492840289097786,False,False
S1_L–PMC_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,0.9533685888233283,0.3545563763890096,0.21781801852387403,0.0646827018190327,11,0.14654944964472988,0.03747505440456917,11,0.09126352479802563,0.3968994545715815,0.7262416200735651,False,False
S1_L–PMC_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,73.0,0.430708328947102,0.2801276566173532,0.06311930938033786,11,0.2322529197985567,0.05475421830412016,11,0.01404963649405596,0.1291386490999057,0.783964082757057,False,False
S1_L–PMC_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.37041293528385905,0.7150119232996107,0.4222768549977692,0.07048159757845598,11,0.46131863684875457,0.07836868952797421,11,0.7915934675256269,0.20063264166869557,0.904115012250048,False,False
S1_L–PMC_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.28304218771135004,0.7800587010781336,0.14144711333594806,0.03953327681527787,11,0.1569416527170553,0.03786688458740956,11,0.18628214026859935,0.1302593954553346,0.9249480527374185,False,False
S1_L–PMC_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,81.0,0.18908180596451618,0.032324832723669705,0.008193303700555146,11,0.025774035669817053,0.011129874733031809,11,0.04394247071397795,6.909982760229004e-05,0.5882545074451614,False,False
S1_L–PMC_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,47.0,0.39330163935061535,0.1649847594369163,0.07299670325072947,11,0.228871612233708,0.06076110927323239,11,0.01710823002826072,0.19914859657896078,0.9628692552249887,False,False
S1_L–PMC_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,43.0,0.26429152373398135,0.18132551807225528,0.08262787785333947,11,0.24191509714928472,0.04608199443321892,11,0.013837441405328138,0.6122424216779621,0.9628692552249887,False,False
S1_L–PMC_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,47.0,0.39330163935061535,0.26321038501663374,0.08697798292394045,11,0.324717574990264,0.08575187282654477,11,0.1895416106639257,0.01862330042147871,0.9628692552249887,False,False
S1_L–PMC_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,57.0,0.8438314252467704,0.12352367249605636,0.06652549762983759,11,0.09992782261600718,0.04982048912191003,11,0.0002558150815815309,0.0002036758677595966,0.9628692552249887,False,False
S1_L–PMC_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,54.0,0.6935883744907081,0.02817231171653106,0.007608711694983515,11,0.0395507456041255,0.014049986241262132,11,0.2051346928348899,0.009347507388613676,0.9628692552249887,False,False
