pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,cliffs_delta,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.5155870995955426,0.6118157410646365,0.5512973440095983,0.04735293268010203,11,0.5177647525994122,0.04458251053937586,11,0.1676375769066007,0.09986868800378926,0.15702479338842976,0.7769419852389023,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,86.0,0.10066768749863966,0.8547828839929076,0.03987268813007863,11,0.7889852750839595,0.03627726295247936,11,0.001819999814906386,0.7058870554509642,0.4214876033057851,0.25166921874659914,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,87.0,0.08740990840206327,0.9310280974429557,0.030186681131585447,11,0.900503934592037,0.024168639836609673,11,2.8474548083448765e-06,0.041078709404434775,0.4380165289256198,0.25166921874659914,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.2871766363659584,0.7769419852389023,0.8022875137006124,0.02695752422690742,11,0.790993761792619,0.028633771246973326,11,0.7417444069982575,0.8501815009066734,0.04132231404958678,0.7769419852389023,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.41074720892884115,0.6869575396361278,0.5443957969726803,0.011678912270635906,11,0.5545681414399334,0.021838752827060583,11,0.8409646324473121,0.4000907430247627,-0.024793388429752067,0.7769419852389023,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.5153869039859413,0.6127208579667012,0.5205381473651111,0.030207354317183795,11,0.5483948912319287,0.044821148833033814,11,0.11590710149055033,0.6836470493896882,-0.15702479338842976,0.9929118333699297,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-1.302148428425445,0.2100011035341552,0.7587383039698264,0.02643871178615293,11,0.821627024837512,0.04041670485166713,11,0.40155668653146576,0.08023281260150805,-0.45454545454545453,0.8948334247334999,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,46.0,0.35793336989339997,0.8767661655237763,0.028430558099559206,11,0.8850422444907743,0.039342996307439114,11,0.1700672469693679,0.0037230424091211317,-0.2396694214876033,0.8948334247334999,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.008996091882134748,0.9929118333699297,0.73996809535067,0.033421100688433,11,0.7403789275395635,0.031122061257421882,11,0.4919659574032125,0.9986447794219637,0.024793388429752067,0.9929118333699297,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.08087294099711129,0.9364950181469314,0.5524843022718753,0.017237253398051364,11,0.5508363835102993,0.010866670666830933,11,0.16478484850049202,0.06975085899338437,0.2231404958677686,0.9929118333699297,False,False
