pair,band,band_idx,groupA,groupB,comparison,symbol,test,stat,p_uncorrected,meanA,semA,nA,meanB,semB,nB,shapiro_p_A,shapiro_p_B,cliffs_delta,p_corrected,significant_corrected,significant_uncorrected
ACA_R–PCA_R,$\delta$,0,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,80.0,0.21216467995625798,0.1763886977354534,0.06731145389248883,11,0.1358825618406412,0.057072667202624584,11,0.7508013433071219,0.0006721886744823704,0.32231404958677684,0.3536077999270967,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,88.0,0.07623611561456438,0.7399813243623469,0.0791546310527793,11,0.4990683037939631,0.09320846222365319,11,0.0063411707073141674,0.41496434914788244,0.45454545454545453,0.19059028903641093,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Mann–Whitney,89.0,0.06589465393531961,0.8799745648390772,0.07178551061531482,11,0.7566261822190955,0.06588330982119547,11,1.1457696284570366e-05,0.25418564533707555,0.47107438016528924,0.19059028903641093,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,0.31538996038320594,0.7557368760602222,0.6213626436940628,0.07122311428420523,11,0.5890203790496618,0.07377761135469962,11,0.56845191716071,0.07184134181335482,0.05785123966942149,0.7557368760602222,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,Ntg_m,3xTg_m vs Ntg_m,$,Welch t-test,-0.6222609818834237,0.5413993068385514,0.09988687112089395,0.033403621298595816,11,0.12573418998465116,0.024689723785828052,11,0.47638180816586384,0.29775003979707554,-0.17355371900826447,0.6767491335481892,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,37.0,0.13096810379821186,0.08821891879796605,0.03568259443404953,11,0.17000487850537363,0.055158279245181886,11,0.043003627273532144,0.020843308585762513,-0.3884297520661157,0.6548405189910592,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.3898450050628785,0.7008062237874124,0.5163177068975155,0.09426460568264936,11,0.5708543477424621,0.10336476187640933,11,0.22552154950505723,0.3639683911032709,-0.12396694214876033,0.8760077797342655,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Mann–Whitney,50.0,0.5114059218501164,0.6656781845663373,0.09705187360248989,11,0.7207810890056822,0.09882151313096205,11,0.07507132024154024,0.022374747754715322,-0.17355371900826447,0.8760077797342655,False,False
ACA_R–PCA_R,$\beta$,3,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,-0.6249811173345999,0.539087582998528,0.4204477710464229,0.08326854190030639,11,0.491466702043865,0.07732381826334807,11,0.47801548157976875,0.14051037739977273,-0.14049586776859505,0.8760077797342655,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_f,Ntg_f,3xTg_f vs Ntg_f,#,Welch t-test,0.14977391990853298,0.8824455913763961,0.12312039626274417,0.022290277262881037,11,0.11849306872529136,0.02139322928932849,11,0.5483527715149217,0.23914981253709167,0.14049586776859505,0.8824455913763961,False,False
ACA_R–PCA_R,$\delta$,0,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,82.0,0.16790547565263503,0.1763886977354534,0.06731145389248883,11,0.08821891879796605,0.03568259443404953,11,0.7508013433071219,0.043003627273532144,0.35537190082644626,0.20988184456579378,False,False
ACA_R–PCA_R,$\theta$,1,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,85.0,0.11503496229473924,0.7399813243623469,0.0791546310527793,11,0.5163177068975155,0.09426460568264936,11,0.0063411707073141674,0.22552154950505723,0.4049586776859504,0.19172493715789873,False,False
ACA_R–PCA_R,$\alpha$,2,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Mann–Whitney,95.0,0.025533058683968244,0.8799745648390772,0.07178551061531482,11,0.6656781845663373,0.09705187360248989,11,1.1457696284570366e-05,0.07507132024154024,0.5702479338842975,0.1276652934198412,False,True
ACA_R–PCA_R,$\beta$,3,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,1.833605937223278,0.0819984020636569,0.6213626436940628,0.07122311428420523,11,0.4204477710464229,0.08326854190030639,11,0.56845191716071,0.47801548157976875,0.4380165289256198,0.19172493715789873,False,False
ACA_R–PCA_R,$\gamma$,4,3xTg_m,3xTg_f,3xTg_m vs 3xTg_f,%,Welch t-test,-0.5785540264976486,0.5702902512729267,0.09988687112089395,0.033403621298595816,11,0.12312039626274417,0.022290277262881037,11,0.47638180816586384,0.5483527715149217,-0.2231404958677686,0.5702902512729267,False,False
ACA_R–PCA_R,$\delta$,0,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,56.0,0.792812616632073,0.1358825618406412,0.057072667202624584,11,0.17000487850537363,0.055158279245181886,11,0.0006721886744823704,0.020843308585762513,-0.0743801652892562,0.9476445296225945,False,False
ACA_R–PCA_R,$\theta$,1,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,-0.5157648789137951,0.6117330195123465,0.4990683037939631,0.09320846222365319,11,0.5708543477424621,0.10336476187640933,11,0.41496434914788244,0.3639683911032709,-0.19008264462809918,0.9476445296225945,False,False
ACA_R–PCA_R,$\alpha$,2,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Mann–Whitney,59.0,0.9476445296225945,0.7566261822190955,0.06588330982119547,11,0.7207810890056822,0.09882151313096205,11,0.25418564533707555,0.022374747754715322,-0.024793388429752067,0.9476445296225945,False,False
ACA_R–PCA_R,$\beta$,3,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.9127892086347702,0.3722496280159664,0.5890203790496618,0.07377761135469962,11,0.491466702043865,0.07732381826334807,11,0.07184134181335482,0.14051037739977273,0.2396694214876033,0.9476445296225945,False,False
ACA_R–PCA_R,$\gamma$,4,Ntg_m,Ntg_f,Ntg_m vs Ntg_f,*,Welch t-test,0.22165227084529215,0.8268772829796907,0.12573418998465116,0.024689723785828052,11,0.11849306872529136,0.02139322928932849,11,0.29775003979707554,0.23914981253709167,0.024793388429752067,0.9476445296225945,False,False
